Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sun 1st Jan 2017 at 12:00,Nine Standards,12.9km / 8m,549m / 1801ft,Market Square Kirkby Stephen,England,North Pennines,8.0,549,Market Square Kirkby Stephen,http://fellrunner.org.uk/races.php?id=4753 
Sat 1st Jul 2017,Dollar,15km / 9.3m,960m / 3150ft,Dollar Academy FK14 7DU NS959983,Scotland,Scotland,9.3,960,56.165948 -3.677943,http://fellrunner.org.uk/races.php?id=4755 
Sat 26th Aug 2017,Ochil 2000s,32.7km / 20.3m,1646m / 5400ft,Stirling University Sports Centre FK9 4LA NS805965,Scotland,Scotland,20.3,1646,56.146171 -3.924977,http://fellrunner.org.uk/races.php?id=4756 
Sat 3rd Jun 2017,Welsh 1000m Peaks,32km / 19.9m,2440m / 8005ft,Abergwyngregyn LL33 SH653728,Wales,Wales,19.9,2440,53.235114 -4.019643,http://fellrunner.org.uk/races.php?id=4757 
Sun 17th Sep 2017 at 11:00,Fat Boys Stanage Struggle,9.9km / 6.2m,355m / 1165ft,Hathersage Primary School School Lane Hathersage,England,Peak District,6.2,355,Hathersage Primary School School Lane Hathersage,http://fellrunner.org.uk/races.php?id=4758 
Sat 2nd Sep 2017,Ben Nevis,14km / 8.7m,1347m / 4419ft,New Town Park Claggan Fort William,Scotland,Scotland,8.7,1347,New Town Park Claggan Fort William,http://fellrunner.org.uk/races.php?id=4759 
Sat 2nd Sep 2017,Gladstone 9,14.5km / 9m,855m / 2805ft,Gladstone Hotel Dwygyfylchi Penmaenmawr SH729772,Wales,Wales,9.0,855,53.276517 -3.907602,http://fellrunner.org.uk/races.php?id=4760 
Wed 14th Jun 2017,Hotfoot Up Famau,5.6km / 3.5m,366m / 1201ft,Car park Moel Famau Denbighshire 163605,Wales,Wales,3.5,366,Car park Moel Famau Denbighshire 163605,http://fellrunner.org.uk/races.php?id=4761 
Sat 17th Jun 2017 at 11:00,Pedol Cwm Pennant,24km / 14.9m,1700m / 5577ft,Cwm Pennant Hostel,Wales,Wales,14.9,1700,Cwm Pennant Hostel,http://fellrunner.org.uk/races.php?id=4762 
Tue 13th Jun 2017 at 19:15,Tal Y Mignedd,6.1km / 3.8m,525m / 1722ft,Fferm Tal y Mignedd,Wales,Wales,3.8,525,Fferm Tal y Mignedd,http://fellrunner.org.uk/races.php?id=4763 
Sun 27th Aug 2017,Cnicht,7.2km / 4.5m,564m / 1850ft,Croesor car park Porthmadog 631447,Wales,Wales,4.5,564,Croesor car park Porthmadog 631447,http://fellrunner.org.uk/races.php?id=4764 
Sat 18th Mar 2017,Yr Aran,16.1km / 10m,945m / 3100ft,Village Hall Llanuwchllyn Bala LL23 7NA,Wales,Wales,10.0,945,52.820609 -3.675345,http://fellrunner.org.uk/races.php?id=4765 
Sat 4th Nov 2017,Rhobell Fawr,10.3km / 6.4m,562m / 1844ft,Llanfachreth Village Hall Dolgellau LL40 2DY,Wales,Wales,6.4,562,52.785710 -3.846021,http://fellrunner.org.uk/races.php?id=4766 
Sat 8th Jul 2017,Tal Y Fan,12.8km / 8m,786m / 2579ft,Rowen Carnival Field 759719,Wales,Wales,8.0,786,Rowen Carnival Field 759719,http://fellrunner.org.uk/races.php?id=4767 
Sat 28th Jan 2017,Tarren Hendre,9.7km / 6m,610m / 2001ft,Abergynolwyn Village Hall LL36 9UU,Wales,Wales,6.0,610,52.643699 -3.955328,http://fellrunner.org.uk/races.php?id=4768 
Sun 5th Feb 2017 at 10:00,Charnwood Hills,21.5km / 13.4m,366m / 1201ft,Martin High School Link Road Anstey Leicester LE7 7EB,England,Midlands,13.4,366,Martin High School Link Road Anstey Leicester LE7 7EB,http://fellrunner.org.uk/races.php?id=4769 
Sun 1st Jan 2017 at 11:00,Hillforts And Headaches,4.8km / 3m,311m / 1020ft,Newcastle Hotel Rothbury Northumberland,England,Northumberland / Durham,3.0,311,Newcastle Hotel Rothbury Northumberland,http://fellrunner.org.uk/races.php?id=4770 
Wed 6th Sep 2017 at 19:00,Ilkley Incline,1.6km / 1m,171m / 561ft,Jn of Wells Rd & Keighley Gate Rd,England,York. Dales,1.0,171,Jn of Wells Rd & Keighley Gate Rd,http://fellrunner.org.uk/races.php?id=4771 
Sun 30th Jul 2017 at 11:00,James Herriot Run,14km / 8.7m,305m / 1001ft,Bolton Castle Castle Bolton Leyburn N Yorks DL8 4ET,England,York. Dales,8.7,305,54.321782 -1.953849,http://fellrunner.org.uk/races.php?id=4772 
Sun 16th Jul 2017 at 13:00,Kentmere Horseshoe,19.8km / 12.3m,1006m / 3300ft,Kentmere Village Hall,England,Lake District,12.3,1006,Kentmere Village Hall,http://fellrunner.org.uk/races.php?id=4773 
Sat 16th Sep 2017 at 14:00,Lantern Pike,8km / 5m,320m / 1050ft,Spray House Farm Little Hayfield,England,Peak District,5.0,320,53.394238 -1.948831,http://fellrunner.org.uk/races.php?id=4774 
Tue 28th Mar 2017 at 18:45,Pete Hartley Memorial Liver Hill,7km / 4.3m,250m / 820ft,Marl Pits Sports Centre Newchurch Road Rawtenstall BB4 7SW,England,South/West Pennines,4.3,250,53.703133 -2.274134,http://fellrunner.org.uk/races.php?id=4775 
Wed 19th Apr 2017 at 19:00,Loughrigg,6.4km / 4m,330m / 1083ft,Rothay Park Ambleside,England,Lake District,4.0,330,Rothay Park Ambleside,http://fellrunner.org.uk/races.php?id=4776 
Sat 25th Feb 2017 at 11:00,Midgley Moor,8km / 5m,381m / 1250ft,Booth Cricket Club Booth Halifax,England,South/West Pennines,5.0,381,53.740283 -1.940837,http://fellrunner.org.uk/races.php?id=4777 
Thu 10th Aug 2017 at 13:00,Appleby Show Murton Pike,10km / 6.2m,520m / 1706ft,Appleby Showfield CA16 6LP,England,York. Dales,6.2,520,54.568116 -2.443863,http://fellrunner.org.uk/races.php?id=4778 
Sun 27th Aug 2017 at 10:30,Norland Moor,10.1km / 6.3m,270m / 886ft,Copley Cricket Club Copley off Wakefield Rd Halifax HX3 0TJ,England,South/West Pennines,6.3,270,Copley Cricket Club Copley off Wakefield Rd Halifax HX3 0TJ,http://fellrunner.org.uk/races.php?id=4779 
Tue 1st Aug 2017 at 19:30,Parwich Panoramic Five,8.5km / 5.3m,200m / 656ft,Sycamore Inn Parwich Ashbourne Derbys DE6 1QA,England,Peak District,5.3,200,Sycamore Inn Parwich Ashbourne Derbys DE6 1QA,http://fellrunner.org.uk/races.php?id=4780 
Wed 9th Aug 2017 at 19:15,Pilgrims Cross,9.7km / 6m,336m / 1102ft,Sunnybank Social Club Hemshore Rd Helmshore Rossendale BB4 4LQ,England,South/West Pennines,6.0,336,Sunnybank Social Club Hemshore Rd Helmshore Rossendale BB4 4LQ,http://fellrunner.org.uk/races.php?id=4781 
Thu 6th Jul 2017 at 19:30,Rangers Alderman's Ascent,8.5km / 5.3m,402m / 1319ft,Shaw Hall Bank Rd Greenfield OL3 7LD,England,South/West Pennines,5.3,402,Shaw Hall Bank Rd Greenfield OL3 7LD,http://fellrunner.org.uk/races.php?id=4782 
Wed 17th May 2017 at 19:15,Shining Tor,10km / 6.2m,311m / 1020ft,Errwood Sailing Club Goyt Valley Sandy Ln Buxton Derbyshire SK17 6GJ,England,Peak District,6.2,311,Errwood Sailing Club Goyt Valley Sandy Ln Buxton Derbyshire SK17 6GJ,http://fellrunner.org.uk/races.php?id=4784 
Sun 5th Feb 2017 at 09:30,Sidmouth 4 Trigs Challenge,26km / 16.2m,914m / 2999ft,Sidmouth Sailing Club,England,South West,16.2,914,50.678806 -3.234144,http://fellrunner.org.uk/races.php?id=4785 
Sat 16th Sep 2017 at 14:30,Simonside,11km / 6.8m,350m / 1148ft,Thropton Showfield Coquetdale Northumberland,England,Northumberland / Durham,6.8,350,55.318369 -1.952711,http://fellrunner.org.uk/races.php?id=4786 
Sun 10th Dec 2017 at 11:00,Simonside Cairns,17.7km / 11m,540m / 1772ft,Newcastle Hotel Rothbury Northumberland,England,Northumberland / Durham,11.0,540,Newcastle Hotel Rothbury Northumberland,http://fellrunner.org.uk/races.php?id=4787 
Sat 3rd Jun 2017 at 11:00,Wharfedale Trail 1/2 Marathon,21km / 13m,590m / 1936ft,Wharfedale Rugby Club Threshfield Skipton BD23 5BS,England,York. Dales,13.0,590,Wharfedale Rugby Club Threshfield Skipton BD23 5BS,http://fellrunner.org.uk/races.php?id=4788 
Wed 2nd Aug 2017 at 19:30,Whittle Pike,8.2km / 5.1m,488m / 1601ft,Cowpe Village Hall Waterfoot Rossendale,England,South/West Pennines,5.1,488,Cowpe Village Hall Waterfoot Rossendale,http://fellrunner.org.uk/races.php?id=4789 
Sat 29th Apr 2017,Salcombe Coastal Marathon - Spring,42km / 26.1m,1372m / 4501ft,Torcross,England,South West,26.1,1372,50.267992 -3.652878,http://fellrunner.org.uk/races.php?id=4790 
Sun 12th Nov 2017 at 11:30,Wadsworth Half Trog,15km / 9.3m,420m / 1378ft,Hare & Hounds Old Town Hebden Bridge HX7 8TN,England,South/West Pennines,9.3,420,53.748387 -1.993899,http://fellrunner.org.uk/races.php?id=4791 
Sat 23rd Sep 2017 at 14:00,Orton,10km / 6.2m,258m / 846ft,Orton C of E School CA10 3RG,England,Lake District,6.2,258,Orton C of E School CA10 3RG,http://fellrunner.org.uk/races.php?id=4792 
Sat 22nd Jul 2017 at 09:00,Old Crown Round,38km / 23.6m,2200m / 7218ft,Old Crown Hesket Newmarket Cumbria CA7 8JG,England,Lake District,23.6,2200,54.738038 -3.025050,http://fellrunner.org.uk/races.php?id=4793 
Tue 25th Apr 2017,Pentyrch,11km / 6.8m,488m / 1601ft,Pentyrch Rugby Club CF15 9QJ  100816,Wales,Wales,6.8,488,Pentyrch Rugby Club CF15 9QJ  100816,http://fellrunner.org.uk/races.php?id=4794 
Wed 19th Jul 2017 at 19:30,Bamford Carnival,7.25km / 4.5m,305m / 1001ft,Bamford Recreation Ground,England,Peak District,4.5,305,Bamford Recreation Ground,http://fellrunner.org.uk/races.php?id=4795 
Sat 2nd Sep 2017 at 15:00,Dartmoor Beer And Bacon,10.3km / 6.4m,300m / 984ft,The Fox and Hounds Hotel Lydford EX20 4HF,England,South West,6.4,300,50.660336 -4.088267,http://fellrunner.org.uk/races.php?id=4796 
Sun 1st Oct 2017 at 09:15,Hodgson Brothers Mountain Relay,40km / 24.9m,2450m / 8038ft,King George V Playing Fields Patterdale,England,Lake District,24.9,2450,King George V Playing Fields Patterdale,http://fellrunner.org.uk/races.php?id=4797 
Sun 3rd Dec 2017 at 11:00,Bill Fox Gravy Pud Race,8km / 5m,305m / 1001ft,Bulls Head Tintwistle SK13 1JY,England,Peak District,5.0,305,Bulls Head Tintwistle SK13 1JY,http://fellrunner.org.uk/races.php?id=4798 
Wed 28th Jun 2017 at 19:30,Eddie's Revenge,6.1km / 3.8m,323m / 1060ft,St Saviours Church Buckstones Rd Shaw OL2 8NB,England,South/West Pennines,3.8,323,53.705244 -2.002993,http://fellrunner.org.uk/races.php?id=4799 
Tue 20th Jun 2017 at 19:15,Bridestone,7.5km / 4.7m,375m / 1230ft,Harley Wood Playing Fields off Stoney Royd Lane Todmorden OL14 8EP (see registration below),England,South/West Pennines,4.7,375,Harley Wood Playing Fields off Stoney Royd Lane Todmorden OL14 8EP (see registration below),http://fellrunner.org.uk/races.php?id=4800 
Sun 12th Mar 2017 at 10:00,Brough Law,8km / 5m,400m / 1312ft,Bulbys Wood car park Ingram Valley Powburn Northumberland,England,Northumberland / Durham,5.0,400,55.441479 -1.988918,http://fellrunner.org.uk/races.php?id=4801 
Sun 18th Jun 2017 at 10:30,Windy Gyle,13.7km / 8.5m,549m / 1801ft,Roadside sheep pens 800m N of Barrowburn Farm Alwinton,England,Northumberland / Durham,8.5,549,55.395459 -2.217853,http://fellrunner.org.uk/races.php?id=4802 
Sat 4th Mar 2017 at 11:00,Stan Bradshaw Pendle Round,16.7km / 10.4m,590m / 1936ft,Barley Burnley,England,South/West Pennines,10.4,590,53.858632 -2.270590,http://fellrunner.org.uk/races.php?id=4803 
Sat 29th Apr 2017 at 10:30,63rd Three Peaks,37.4km / 23.2m,1608m / 5276ft,Playing fields Horton-in-Ribblesdale North Yorks,England,York. Dales,23.2,1608,Playing fields Horton-in-Ribblesdale North Yorks,http://fellrunner.org.uk/races.php?id=4804 
Sun 2nd Jul 2017 at 12:30,Skiddaw,15.4km / 9.6m,960m / 3150ft,Keswick Football Club Lower Fitz Park Keswick,England,Lake District,9.6,960,54.604920 -3.137811,http://fellrunner.org.uk/races.php?id=4805 
Sun 23rd Jul 2017 at 11:00,Holme Moss,28.5km / 17.7m,1315m / 4314ft,Cartworth Moor Cricket Club Holmfirth HD9 2TU,England,Peak District,17.7,1315,Cartworth Moor Cricket Club Holmfirth HD9 2TU,http://fellrunner.org.uk/races.php?id=4806 
Sun 23rd Apr 2017 at 11:00,Mow Cop,10.5km / 6.5m,400m / 1312ft,Mount Pleasant/ Mow Cop Village Hall Mount Pleasant Rd ST7 3LG,England,Midlands,6.5,400,Mount Pleasant/ Mow Cop Village Hall Mount Pleasant Rd ST7 3LG,http://fellrunner.org.uk/races.php?id=4807 
Sat 28th Jan 2017 at 11:00,Hoofstones,12.9km / 8m,425m / 1394ft,Staff of Life pub Burnley Rd Todmorden OL14 8JF,England,South/West Pennines,8.0,425,Staff of Life pub Burnley Rd Todmorden OL14 8JF,http://fellrunner.org.uk/races.php?id=4808 
Thu 1st Jun 2017 at 19:30,Hebden Bridge,10.4km / 6.5m,350m / 1148ft,Machpelah House Station Rd Hebden Bridge HX7 8AU,England,South/West Pennines,6.5,350,Machpelah House Station Rd Hebden Bridge HX7 8AU,http://fellrunner.org.uk/races.php?id=4809 
Tue 6th Jun 2017 at 19:15,Paddy's Pole,6km / 3.7m,336m / 1102ft,Fell Foot Chipping Lancs PR3 2NP,England,Bowland/NW Lancs.,3.7,336,Fell Foot Chipping Lancs PR3 2NP,http://fellrunner.org.uk/races.php?id=4810 
Mon 29th May 2017 at 14:45,Shutlingsloe,3km / 1.9m,270m / 886ft,Crag Hall Wildboarclough SK11 0BD,England,Peak District,1.9,270,53.217172 -2.019425,http://fellrunner.org.uk/races.php?id=4812 
Sun 25th Jun 2017 at 11:00,Kinder Trog,25.7km / 16m,1064m / 3491ft,Scout Hut Hayfield,England,Peak District,16.0,1064,53.382553 -1.948845,http://fellrunner.org.uk/races.php?id=4813 
Wed 3rd May 2017 at 19:30,Rainow 5,8km / 5m,229m / 751ft,Rainow Institute B5470 between Macclesfield and Whaley Bridge,England,Peak District,5.0,229,Rainow Institute B5470 between Macclesfield and Whaley Bridge,http://fellrunner.org.uk/races.php?id=4814 
Sun 11th Jun 2017 at 11:00,Accelerate Edale Race,7.6km / 4.7m,402m / 1319ft,Registration at Edale Village Hall,England,Peak District,4.7,402,53.364444 -1.815124,http://fellrunner.org.uk/races.php?id=4815 
Tue 4th Jul 2017 at 19:30,Stoodley Pike,5km / 3.1m,213m / 699ft,Top Brink Inn Lumbutts Todmorden OL14 6JB,England,South/West Pennines,3.1,213,53.543458 -2.007505,http://fellrunner.org.uk/races.php?id=4816 
Sat 5th Aug 2017 at 14:00,Osmotherley Show,8.8km / 5.5m,320m / 1050ft,Osmotherley Show Ground Thimbleby DL6 3PY,England,North York Moors,5.5,320,Osmotherley Show Ground Thimbleby DL6 3PY,http://fellrunner.org.uk/races.php?id=4817 
Sun 9th Jul 2017 at 11:15,Peak Forest,9.7km / 6m,198m / 650ft,The former Peak Forest Village Store Church Lane  SK17 8EL,England,Peak District,6.0,198,53.312330 -1.828857,http://fellrunner.org.uk/races.php?id=4818 
Tue 20th Jun 2017 at 19:30,Blacka Moor Chase,10km / 6.2m,440m / 1444ft,Totley AC Pavilion Cricket Inn 302800,England,Peak District,6.2,440,Totley AC Pavilion Cricket Inn 302800,http://fellrunner.org.uk/races.php?id=4819 
Sun 3rd Dec 2017 at 10:30,Eskdale Eureka,12.6km / 7.8m,470m / 1542ft,Car Park above NZ680078,England,North York Moors,7.8,470,54.461050 -0.952529,http://fellrunner.org.uk/races.php?id=4820 
Wed 26th Jul 2017 at 19:30,Green Green Grass Of Home,8km / 5m,457m / 1499ft,Golden Lion Llangynhafal LL16 4LN,Wales,Wales,5.0,457,Golden Lion Llangynhafal LL16 4LN,http://fellrunner.org.uk/races.php?id=4821 
Sat 12th Aug 2017 at 09:30,Half Tour Of Bradwell,25km / 15.5m,970m / 3182ft,Bradwell Sports Club S33 9ST Enter opposite Samuel Fox pub,England,Peak District,15.5,970,53.332841 -1.738678,http://fellrunner.org.uk/races.php?id=4822 
Sat 12th Aug 2017 at 09:00,Long Tour Of Bradwell,52.7km / 32.7m,2200m / 7218ft,Bradwell Sports Club S33 9ST Enter opposite Samuel Fox pub,England,Peak District,32.7,2200,53.332841 -1.738678,http://fellrunner.org.uk/races.php?id=4823 
Sat 4th Mar 2017,Pipe Dream,8.2km / 5.1m,518m / 1699ft,Dolgarrog Community Centre LL32 8JU  SH769676,Wales,Wales,5.1,518,53.191213 -3.843937,http://fellrunner.org.uk/races.php?id=4824 
Sat 4th Feb 2017 at 11:45,Titterstone Clee,4.1km / 2.5m,229m / 751ft,Cleeton St Mary DY14 0QU,England,Shropshire/Welsh Borders,2.5,229,Cleeton St Mary DY14 0QU,http://fellrunner.org.uk/races.php?id=4825 
Sun 5th Feb 2017 at 11:30,Long Mynd Valleys,18.5km / 11.5m,1372m / 4501ft,Note new venue: registration at The Pavilion Cafe Carding Mill Valley Church Stretton SY6 6JG,England,Shropshire/Welsh Borders,11.5,1372,Note new venue: registration at The Pavilion Cafe Carding Mill Valley Church Stretton SY6 6JG,http://fellrunner.org.uk/races.php?id=4826 
Sat 1st Jul 2017,Saunders Lakeland Mountain Marathon,Unknown,Unknown,Lakeland venue to be announced with final details,England,Lake District,0.0,0,Lakeland venue to be announced with final details,http://fellrunner.org.uk/races.php?id=4828 
Sat 17th Jun 2017 at 14:00,Tebay,13km / 8.1m,914m / 2999ft,Tebay Recreation Ground,England,Lake District,8.1,914,54.434482 -2.590412,http://fellrunner.org.uk/races.php?id=4829 
Wed 10th May 2017 at 19:30,Wrekin Streak,4.5km / 2.8m,247m / 810ft,Forest Glen Wellington Telford,England,Shropshire/Welsh Borders,2.8,247,Forest Glen Wellington Telford,http://fellrunner.org.uk/races.php?id=4830 
Sun 12th Feb 2017 at 11:30,Windy Hill,14.5km / 9m,390m / 1280ft,Littleborough Rugby Club Rakewood Rd Littleborough OL15 0AP (nr campsite behind Hollingworth Lake),England,South/West Pennines,9.0,390,Littleborough Rugby Club Rakewood Rd Littleborough OL15 0AP (nr campsite behind Hollingworth Lake),http://fellrunner.org.uk/races.php?id=4831 
Sat 19th Aug 2017 at 13:30,Weasdale Horseshoe,14km / 8.7m,610m / 2001ft,Ravenstonedale Show Field Newbiggin on Lune,England,York. Dales,8.7,610,Ravenstonedale Show Field Newbiggin on Lune,http://fellrunner.org.uk/races.php?id=4832 
Sat 4th Feb 2017 at 10:00,Wadsworth Trog,31km / 19.3m,1110m / 3642ft,Old Town Cricket Club Old Town Mill Lane Hebden Bridge HX7 8SW,England,South/West Pennines,19.3,1110,53.752881 -2.004514,http://fellrunner.org.uk/races.php?id=4833 
Sun 5th Nov 2017 at 10:30,Saltergate Gallows,17km / 10.6m,430m / 1411ft,Levisham Village Hall Pickering N Yorks,England,North York Moors,10.6,430,Levisham Village Hall Pickering N Yorks,http://fellrunner.org.uk/races.php?id=4834 
Sat 19th Aug 2017 at 11:00,Pendle 3 Peaks,16km / 9.9m,870m / 2854ft,The Pendle Inn Barley Burnley Lancs BB12 9JX,England,South/West Pennines,9.9,870,The Pendle Inn Barley Burnley Lancs BB12 9JX,http://fellrunner.org.uk/races.php?id=4835 
Sun 7th May 2017 at 12:00,Great Hameldon,9.6km / 6m,338m / 1109ft,Peel Park Hotel Turkey St Accrington BB5 6EW,England,South/West Pennines,6.0,338,Peel Park Hotel Turkey St Accrington BB5 6EW,http://fellrunner.org.uk/races.php?id=4836 
Wed 23rd Aug 2017 at 19:00,Crook Peak Cake Race,4.8km / 3m,200m / 656ft,White Hart Cross Axbridge Somerset BS26 2EE,England,South West,3.0,200,51.288432 -2.837411,http://fellrunner.org.uk/races.php?id=4837 
Wed 26th Apr 2017 at 19:30,Caradoc Classic,5.6km / 3.5m,268m / 879ft,Church Stretton Social Club Essex Road (turn right over railway bridge into Church Stretton from A49),England,Shropshire/Welsh Borders,3.5,268,Church Stretton Social Club Essex Road (turn right over railway bridge into Church Stretton from A49),http://fellrunner.org.uk/races.php?id=4838 
Sat 2nd Sep 2017 at 14:00,Blackshaw Head Fete,8.9km / 5.5m,274m / 899ft,Fete field Blackshaw Head Hebden Bridge,England,South/West Pennines,5.5,274,Fete field Blackshaw Head Hebden Bridge,http://fellrunner.org.uk/races.php?id=4839 
Sun 17th Sep 2017 at 14:00,Utterley Butterley,8km / 5m,260m / 853ft,Marsden Cricket Club Mount Rd Marsden HD7 6NN,England,South/West Pennines,5.0,260,Marsden Cricket Club Mount Rd Marsden HD7 6NN,http://fellrunner.org.uk/races.php?id=4840 
Tue 29th Aug 2017 at 15:15,Kilnsey Crag ( B O F R A ),2km / 1.2m,124m / 407ft,Kilnsey Show BD23 5UQ,England,York. Dales,1.2,124,Kilnsey Show BD23 5UQ,http://fellrunner.org.uk/races.php?id=4841 
Mon 3rd Jul 2017 at 19:30,Hathersage Gala,7.2km / 4.5m,325m / 1066ft,School field School Lane Hathersage S32 1BZ,England,Peak District,4.5,325,53.332615 -1.650085,http://fellrunner.org.uk/races.php?id=4842 
Wed 6th Sep 2017 at 18:00,Ilkley Junior Sprint Relays,0.8km / 0.5m,30m / 98ft,Wells Rd Ilkley LS29 9RF,England,York. Dales,0.5,30,Wells Rd Ilkley LS29 9RF,http://fellrunner.org.uk/races.php?id=4843 
Thu 10th Aug 2017 at 19:15,Denis Stitt Memorial Race,6km / 3.7m,370m / 1214ft,Cartworth Moor Cricket Club Holmfirth HD9 2TU,England,Peak District,3.7,370,Cartworth Moor Cricket Club Holmfirth HD9 2TU,http://fellrunner.org.uk/races.php?id=4844 
