Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sun 11th Feb 2018 at 10:00,11/02 Bradda,24km / 14.9m,950m / 3117ft,Bradda Glen Cafe,England,Isle of Man,14.9,950,Bradda Glen Cafe,http://fellrunner.org.uk/races.php?id=5791 
Sun 11th Feb 2018 at 13:00,11/02 Barbondale,3.2km / 2m,358m / 1175ft,Barbondale Cumbria,England,Lake District,2.0,358,54.239743 -2.529320,http://fellrunner.org.uk/races.php?id=5958 
Sun 11th Feb 2018,11/02 Mercia Hill Trial,Unknown,Unknown,TBC 1 month before event: South Shropshire,England,Shropshire/Welsh Borders,0.0,0,TBC 1 month before event: South Shropshire,http://fellrunner.org.uk/races.php?id=5923 
Sat 17th Feb 2018 at 11:30,17/02 Flower Scar,13.3km / 8.3m,660m / 2165ft,Todmorden Cricket Club Burnley Road Todmorden OL14 7BS,England,South/West Pennines,8.3,660,Todmorden Cricket Club Burnley Road Todmorden OL14 7BS,http://fellrunner.org.uk/races.php?id=5492 
Sat 17th Feb 2018 at 13:00,17/02 Bleasdale Circle,8km / 5m,381m / 1250ft,Bleasdale Parish Hall PR3 1UY,England,Bowland/NW Lancs.,5.0,381,53.902116 -2.649839,http://fellrunner.org.uk/races.php?id=5601 
Sun 18th Feb 2018 at 09:30,18/02 New Chew,Unknown,Unknown,Dovestones Sailing Club Greenfield Saddleworth,England,Peak District,0.0,0,53.526379 -1.981858,http://fellrunner.org.uk/races.php?id=5720 
Sun 18th Feb 2018 at 11:00,18/02 Stybarrow Dodd  Kong Winter Series 4,6.5km / 4m,700m / 2297ft,Thirlmere Recreation Hall,England,Lake District,4.0,700,Thirlmere Recreation Hall,http://fellrunner.org.uk/races.php?id=5479 
Sun 18th Feb 2018 at 11:30,18/02 Ilkley Moor,8km / 5m,401m / 1316ft,Wells Rd Ilkley LS29 9RF,England,York. Dales,5.0,401,Wells Rd Ilkley LS29 9RF,http://fellrunner.org.uk/races.php?id=5514 
Sun 18th Feb 2018 at 13:00,18/02 Longsleddale,7.7km / 4.8m,480m / 1575ft,Docker Nook Farm Longsleddale,England,Lake District,4.8,480,Docker Nook Farm Longsleddale,http://fellrunner.org.uk/races.php?id=5964 
Fri 23rd Feb 2018 at 19:30,23/02 Mr Sparkle's Dark 'un,8.1km / 5m,214m / 702ft,Royal Hotel Tockholes Darwen BB3 0PA,England,South/West Pennines,5.0,214,Royal Hotel Tockholes Darwen BB3 0PA,http://fellrunner.org.uk/races.php?id=5662 
Sat 24th Feb 2018 at 11:00,24/02 Midgley Moor,8km / 5m,381m / 1250ft,Booth Cricket Club Booth Halifax,England,South/West Pennines,5.0,381,53.740283 -1.940837,http://fellrunner.org.uk/races.php?id=5737 
Sat 24th Feb 2018 at 14:00,24/02 Inov-8 High Cup Nick,15km / 9.3m,460m / 1509ft,Dufton Village Hall CA16 6DB,England,North Pennines,9.3,460,Dufton Village Hall CA16 6DB,http://fellrunner.org.uk/races.php?id=5619 
Sun 25th Feb 2018 at 10:00,25/02 Clwydian Sheeptracks,28km / 17.4m,1400m / 4593ft,Viewpoint carpark above Cilcain,Wales,Wales,17.4,1400,53.177406 -3.244807,http://fellrunner.org.uk/races.php?id=5903 
Sun 25th Feb 2018 at 11:00,25/02 Heartbeat Hobble,11km / 6.8m,260m / 853ft,Mallyan Spout Hotel Goathland Village Whitby,England,North York Moors,6.8,260,54.394199 -0.729361,http://fellrunner.org.uk/races.php?id=5710 
Sun 25th Feb 2018 at 11:00,25/02 Hope Winter,9.5km / 5.9m,451m / 1480ft,Hope Sportsfield Castleton Rd Hope S33 6RD,England,Peak District,5.9,451,53.348148 -1.750602,http://fellrunner.org.uk/races.php?id=5868 
Sun 25th Feb 2018 at 11:30,25/02 Hoppits Hill,5.6km / 3.5m,250m / 820ft,Lower Hopton Cricket Club,England,Peak District,3.5,250,53.662571 -1.679144,http://fellrunner.org.uk/races.php?id=5645 
Sun 25th Feb 2018 at 13:00,25/02 Sedbergh School - Winter League,6.4km / 4m,145m / 476ft,Sedbergh School Busk Pavillion Busk Lane LA10 5HF,England,Lake District,4.0,145,Sedbergh School Busk Pavillion Busk Lane LA10 5HF,http://fellrunner.org.uk/races.php?id=5972 
